,child_case,head_case,relation,child_pos,head_pos,file_name
29,nom,nom,viseranam,nom. pl. m.,nom. pl. m.,Gold_627.csv
30,nom,FV,karwa,nom. pl. m.,pr. ps. pl. 3,Gold_627.csv
31,adv,Ind,kriyaviseranam,adv.,conj.,Gold_627.csv
32,acc,Ind,waxarwyam,acc. sg. n.,conj.,Gold_627.csv
33,FV,Ind,samucciwam,pr. ps. pl. 3,conj.,Gold_627.csv
34,FV,Ind,samucciwam,pr. ps. pl. 3,conj.,Gold_627.csv
35,FV,Ind,samucciwam,ca. pr. ac. pl. 3,conj.,Gold_627.csv
36,Ind,ROOT,root,conj.,NA,Gold_627.csv
37,Ind,loc,hewuh,conj.,loc. sg. m.,Gold_231.csv
38,g,loc,rartisambanxah,g. pl. f.,loc. sg. m.,Gold_231.csv
39,loc,FV,axikaranam,loc. sg. m.,pft. ac. sg. 1,Gold_231.csv
40,Ind,loc,kriyaviseranam,conj.,loc. sg. m.,Gold_231.csv
41,acc,loc,karma,acc. sg. m.,loc. sg. m.,Gold_231.csv
42,loc,FV,bavalakranasapwami_samanakalah,loc. sg. m.,pft. ac. sg. 1,Gold_231.csv
43,loc,FV,axikaranam,loc. sg. m.,pft. ac. sg. 1,Gold_231.csv
44,Ind,FV,sambanxah,conj.,pft. ac. sg. 1,Gold_231.csv
45,IV,FV,prayojanam,inf.,pft. ac. sg. 1,Gold_231.csv
46,FV,ROOT,root,pft. ac. sg. 1,NA,Gold_231.csv
47,nom,FV,karwa,nom. sg. m.,aor. [5] ac. sg. 3,Gold_370.csv
48,loc,loc,sambanxah,loc. du. n.,loc. sg. f.,Gold_370.csv
49,loc,IV,axikaranam,loc. sg. f.,ppr. [1] ac.,Gold_370.csv
50,IV,FV,bavalakranasapwami_samanakalah,ppr. [1] ac.,aor. [5] ac. sg. 3,Gold_370.csv
51,FV,ROOT,root,aor. [5] ac. sg. 3,NA,Gold_370.csv
52,Ind,FV,sambanxah,part.,aor. [5] ac. sg. 3,Gold_370.csv
53,loc,FV,axikaranam,loc. sg. n.,aor. [5] ac. sg. 3,Gold_546.csv
54,g,g,viseranam,g. sg. f.,g. sg. f.,Gold_546.csv
55,g,nom,rartisambanxah,g. sg. f.,nom. sg. m.,Gold_546.csv
56,nom,FV,karwa,nom. sg. m.,aor. [5] ac. sg. 3,Gold_546.csv
57,FV,ROOT,root,aor. [5] ac. sg. 3,NA,Gold_546.csv
58,acc,FV,karma,acc. pl. m.,opt. [vn.] ac. sg. 3,Gold_1033.csv
59,Ind,acc,sambanxah,conj.,acc. pl. m.,Gold_1033.csv
60,adv,FV,kriyaviseranam,adv.,opt. [vn.] ac. sg. 3,Gold_1033.csv
61,FV,ROOT,root,opt. [vn.] ac. sg. 3,NA,Gold_1033.csv
62,Ind,FV,sambanxah,part.,opt. [vn.] ac. sg. 3,Gold_1033.csv
63,nom,nom,viseranam,nom. sg. f.,nom. sg. f.,Gold_681.csv
64,nom,nom,viseranam,nom. sg. f.,nom. sg. f.,Gold_681.csv
65,inst,FV,karanam,inst. pl. m.,pft. ps. sg. 3,Gold_681.csv
66,loc,FV,axikaranam,loc. sg. f.,pft. ps. sg. 3,Gold_681.csv
67,FV,nom,viseranam,pp. . sg. ,nom. sg. f.,Gold_681.csv
68,nom,nom,viseranam,nom. sg. f.,nom. sg. f.,Gold_681.csv
69,nom,FV,karwa,nom. sg. f.,pft. ps. sg. 3,Gold_681.csv
70,nom,Ind,prawiyogi,nom. sg. f.,conj.,Gold_681.csv
71,Ind,nom,anuyogi,conj.,nom. sg. f.,Gold_681.csv
72,g,acc,rartisambanxah,g. sg. m.,acc. sg. f.,Gold_681.csv
73,acc,FV,karma,acc. sg. f.,pft. ps. sg. 3,Gold_681.csv
74,FV,ROOT,root,pft. ps. sg. 3,NA,Gold_681.csv
75,loc,FV,axikaranam,loc. sg. m.,imp. [4] md. sg. 3,Gold_670.csv
76,loc,FV,axikaranam,loc. sg. m.,imp. [4] md. sg. 3,Gold_670.csv
77,FV,ROOT,root,imp. [4] md. sg. 3,NA,Gold_670.csv
78,loc,FV,axikaranam,loc. sg. f.,pft. ac. pl. 3,Gold_213.csv
79,loc,IV,axikaranam,loc. pl. n.,inf.,Gold_213.csv
80,inst,IV,karanam,inst. sg. f.,inf.,Gold_213.csv
81,acc,IV,karma,acc. sg. n.,inf.,Gold_213.csv
82,IV,FV,prayojanam,inf.,pft. ac. pl. 3,Gold_213.csv
83,nom,nom,viseranam,nom. pl. m.,nom. pl. m.,Gold_213.csv
84,nom,nom,viseranam,nom. pl. m.,nom. pl. m.,Gold_213.csv
85,nom,FV,karwa,nom. pl. m.,pft. ac. pl. 3,Gold_213.csv
86,acc,FV,karma,acc. pl. f.,pft. ac. pl. 3,Gold_213.csv
87,acc,Ind,prawiyogi,acc. pl. f.,conj.,Gold_213.csv
88,Ind,acc,anuyogi,conj.,acc. pl. f.,Gold_213.csv
89,FV,ROOT,root,pft. ac. pl. 3,NA,Gold_213.csv
90,Ind,FV,sambanxah,conj.,pr. ac. sg. 3,Gold_316.csv
91,Ind,Ind,sambanxah,conj.,conj.,Gold_316.csv
92,g,loc,rartisambanxah,g. sg. n.,loc. sg. n.,Gold_316.csv
93,loc,FV,axikaranam,loc. sg. n.,pr. ac. sg. 3,Gold_316.csv
94,Ind,loc,sambanxah,conj.,loc. sg. n.,Gold_316.csv
95,nom,Ind,prawiyogi,nom. sg. m.,conj.,Gold_316.csv
96,Ind,nom,anuyogi,conj.,nom. sg. n.,Gold_316.csv
97,nom,nom,sambanxah,nom. sg. n.,nom. sg. n.,Gold_316.csv
98,nom,FV,karwa,nom. sg. n.,pr. ac. sg. 3,Gold_316.csv
99,FV,Ind,samucciwam,pr. ac. sg. 3,conj.,Gold_316.csv
100,nom,FV,sambanxah,nom. sg. n.,pr. ac. sg. 3,Gold_316.csv
101,g,g,viseranam,g. sg. m.,g. sg. n.,Gold_316.csv
102,g,nom,rartisambanxah,g. sg. n.,nom. sg. n.,Gold_316.csv
103,nom,FV,karwa,nom. sg. n.,pr. ac. sg. 3,Gold_316.csv
104,FV,Ind,samucciwam,pr. ac. sg. 3,conj.,Gold_316.csv
105,Ind,ROOT,root,conj.,NA,Gold_316.csv
106,loc,FV,axikaranam,loc. sg. m.,pr. ac. sg. 3,Gold_303.csv
107,nom,FV,karwa,nom. sg. f.,pr. ac. sg. 3,Gold_303.csv
108,Ind,FV,axikaranam,conj.,pr. ac. sg. 3,Gold_303.csv
109,FV,FV,karwqsamanaxikaranam,pp. . sg. ,pr. ac. sg. 3,Gold_303.csv
110,Ind,FV,sambanxah,conj.,pr. ac. sg. 3,Gold_303.csv
111,FV,ROOT,root,pr. ac. sg. 3,NA,Gold_303.csv
112,nom,IV,karwa,nom. sg. m.,ppr. [6] ac.,Gold_1266.csv
113,acc,acc,viseranam,acc. du. n.,acc. du. n.,Gold_1266.csv
114,acc,acc,viseranam,acc. du. n.,acc. du. n.,Gold_1266.csv
115,Ind,acc,sambanxah,conj.,acc. du. n.,Gold_1266.csv
116,acc,IV,karma,acc. du. n.,ppr. [6] ac.,Gold_1266.csv
117,Ind,IV,sambanxah,part.,ppr. [6] ac.,Gold_1266.csv
118,IV,ROOT,root,ppr. [6] ac.,NA,Gold_1266.csv
119,Ind,IV,sambanxah,part.,ppr. [6] ac.,Gold_1266.csv
120,nom,nom,viseranam,nom. pl. m.,nom. pl. m.,Gold_744.csv
121,nom,FV,karwa,nom. pl. m.,pr. [1] ac. pl. 3,Gold_744.csv
122,nom,FV,karwqsamanaxikaranam,nom. pl. m.,pr. [1] ac. pl. 3,Gold_744.csv
123,FV,ROOT,root,pr. [1] ac. pl. 3,NA,Gold_744.csv
124,Ind,FV,sambanxah,part.,pr. [1] ac. pl. 3,Gold_744.csv
125,Ind,nom,sambanxah,conj.,nom. sg. m.,Gold_1257.csv
126,nom,FV,bavalakranasapwami_samanakalah,nom. sg. m.,impft . ac. sg. 3,Gold_1257.csv
127,nom,FV,karwa,nom. sg. m.,impft . ac. sg. 3,Gold_1257.csv
128,Ind,FV,axikaranam,conj.,impft . ac. sg. 3,Gold_1257.csv
129,acc,acc,viseranam,acc. du. m.,acc. du. m.,Gold_1257.csv
130,acc,FV,karma,acc. du. m.,impft . ac. sg. 3,Gold_1257.csv
131,inst,nom,karanam,inst. du. n.,nom. du. m.,Gold_1257.csv
132,nom,nom,kriyaviseranam,nom. sg. n.,nom. du. m.,Gold_1257.csv
133,inst,nom,kriyaviseranam,inst. sg. m.,nom. du. m.,Gold_1257.csv
134,nom,FV,karmasamanaxikaranam,nom. du. m.,impft . ac. sg. 3,Gold_1257.csv
135,FV,ROOT,root,impft . ac. sg. 3,NA,Gold_1257.csv
136,Ind,FV,axikaranam,conj.,impft . ps. pl. 3,Gold_67.csv
137,loc,acc,axikaranam,loc. pl. f.,acc. pl. f.,Gold_67.csv
138,nom,acc,karma,nom. pl. f.,acc. pl. f.,Gold_67.csv
139,inst,acc,karwa,inst. pl. n.,acc. pl. f.,Gold_67.csv
140,acc,Ind,samucciwam,acc. pl. f.,conj.,Gold_67.csv
141,acc,FV,karma,acc. pl. f.,impft . ps. pl. 3,Gold_67.csv
142,IV,FV,purvakalah,abs.,impft . ps. pl. 3,Gold_67.csv
143,nom,nom,viseranam,nom. pl. f.,nom. pl. f.,Gold_67.csv
144,nom,Ind,prawiyogi,nom. pl. f.,conj.,Gold_67.csv
145,Ind,nom,anuyogi,conj.,nom. pl. f.,Gold_67.csv
146,FV,Ind,samucciwam,impft . ps. pl. 3,conj.,Gold_67.csv
147,Ind,ROOT,root,conj.,NA,Gold_67.csv
148,g,acc,rartisambanxah,g. sg. n.,acc. sg. m.,Gold_59.csv
149,acc,FV,karma,acc. sg. m.,pr. ps. sg. 3,Gold_59.csv
150,FV,Ind,samucciwam,pr. ps. sg. 3,conj.,Gold_59.csv
151,acc,Ind,prawiyogi,acc. sg. m.,prep.,Gold_59.csv
152,Ind,nom,anuyogi,prep.,nom. sg. m.,Gold_59.csv
153,nom,FV,karwa,nom. sg. m.,pr. [2] ac. sg. 3,Gold_59.csv
154,Ind,FV,sambanxah,part.,pr. [2] ac. sg. 3,Gold_59.csv
155,nom,FV,karwqsamanaxikaranam,nom. sg. m.,pr. [2] ac. sg. 3,Gold_59.csv
156,FV,Ind,samucciwam,pr. [2] ac. sg. 3,conj.,Gold_59.csv
157,Ind,ROOT,root,conj.,NA,Gold_59.csv
158,Ind,FV,sambanxah,conj.,fut. ac. sg. 1,Gold_1118.csv
159,inst,Ind,prawiyogi,inst. sg. *.,conj.,Gold_1118.csv
160,Ind,nom,anuyogi,conj.,nom. sg. *.,Gold_1118.csv
161,nom,FV,karwa,nom. sg. *.,fut. ac. sg. 1,Gold_1118.csv
162,acc,FV,karma,acc. sg. f.,fut. ac. sg. 1,Gold_1118.csv
163,FV,ROOT,root,fut. ac. sg. 1,NA,Gold_1118.csv
164,acc,FV,karma,acc. sg. m.,pr. [8] ac. pl. 3,Gold_923.csv
165,Ind,FV,sambanxah,part.,pr. [8] ac. pl. 3,Gold_923.csv
166,FV,ROOT,root,pr. [8] ac. pl. 3,NA,Gold_923.csv
167,nom,nom,viseranam,nom. pl. m.,nom. pl. m.,Gold_923.csv
168,nom,FV,karwa,nom. pl. m.,pr. [8] ac. pl. 3,Gold_923.csv
169,Ind,dat,axikaranam,conj.,dat. sg. m.,Gold_329.csv
170,dat,dat,viseranam,dat. sg. m.,dat. sg. m.,Gold_329.csv
171,Ind,dat,sambanxah,conj.,dat. sg. m.,Gold_329.csv
172,dat,nom,prayojanam,dat. sg. m.,nom. pl. m.,Gold_329.csv
173,g,acc,rartisambanxah,g. pl. m.,acc. sg. m.,Gold_329.csv
174,acc,nom,karma,acc. sg. m.,nom. pl. m.,Gold_329.csv
175,acc,nom,kriyaviseranam,acc. sg. m.,nom. pl. m.,Gold_329.csv
176,nom,FV,bavalakranasapwami_samanakalah,nom. pl. m.,pft. ac. pl. 3,Gold_329.csv
177,nom,nom,viseranam,nom. pl. m.,nom. pl. m.,Gold_329.csv
178,nom,FV,karwa,nom. pl. m.,pft. ac. pl. 3,Gold_329.csv
179,loc,FV,axikaranam,loc. pl. m.,pft. ac. pl. 3,Gold_329.csv
180,nom,FV,prayojanam,nom. sg. n.,pft. ac. pl. 3,Gold_329.csv
181,Ind,FV,kriyaviseranam,conj.,pft. ac. pl. 3,Gold_329.csv
182,acc,FV,karma,acc. pl. f.,pft. ac. pl. 3,Gold_329.csv
183,FV,ROOT,root,pft. ac. pl. 3,NA,Gold_329.csv
184,Ind,FV,sambanxah,conj.,pft. ac. sg. 3,Gold_606.csv
185,Ind,FV,sambanxah,conj.,pft. ac. sg. 3,Gold_606.csv
186,inst,Ind,upapaxasambanxah,inst. pl. m.,conj.,Gold_606.csv
187,Ind,nom,sambanxah,conj.,nom. sg. m.,Gold_606.csv
188,inst,nom,karanam,inst. sg. m.,nom. sg. m.,Gold_606.csv
189,g,g,viseranam,g. sg. n.,g. sg. f.,Gold_606.csv
190,g,acc,rartisambanxah,g. sg. f.,acc. sg. m.,Gold_606.csv
191,acc,nom,karma,acc. sg. m.,nom. sg. m.,Gold_606.csv
192,nom,FV,bavalakranasapwami_samanakalah,nom. sg. m.,pft. ac. sg. 3,Gold_606.csv
193,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_606.csv
194,g,acc,rartisambanxah,g. sg. f.,acc. sg. n.,Gold_606.csv
195,acc,acc,viseranam,acc. sg. n.,acc. sg. m.,Gold_606.csv
196,acc,FV,karma,acc. sg. m.,pft. ac. sg. 3,Gold_606.csv
197,nom,Ind,prawiyogi,nom. sg. m.,conj.,Gold_606.csv
198,Ind,nom,anuyogi,conj.,nom. sg. n.,Gold_606.csv
199,nom,FV,karwa,nom. sg. n.,pft. ac. sg. 3,Gold_606.csv
200,FV,ROOT,root,pft. ac. sg. 3,NA,Gold_606.csv
201,nom,nom,viseranam,nom. pl. n.,nom. pl. n.,Gold_1005.csv
202,nom,nom,viseranam,nom. pl. n.,nom. pl. n.,Gold_1005.csv
203,nom,nom,viseranam,nom. pl. m.,nom. pl. n.,Gold_1005.csv
204,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_1005.csv
205,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_1005.csv
206,nom,nom,viseranam,nom. sg. n.,nom. pl. n.,Gold_1005.csv
207,acc,nom,viseranam,acc. sg. m.,nom. pl. n.,Gold_1005.csv
208,nom,nom,viseranam,nom. sg. n.,nom. pl. n.,Gold_1005.csv
209,Ind,nom,sambanxah,conj.,nom. pl. n.,Gold_1005.csv
210,g,nom,rartisambanxah,g. pl. f.,nom. pl. n.,Gold_1005.csv
211,nom,FV,karwa,nom. pl. n.,impft . ac. pl. 3,Gold_1005.csv
212,FV,ROOT,root,impft . ac. pl. 3,NA,Gold_1005.csv
213,Ind,nom,anuyogi,prep.,nom. sg. *,Gold_334.csv
214,acc,Ind,prawiyogi,acc. pl. m.,prep.,Gold_334.csv
215,Ind,nom,anuyogi,prep.,nom. sg. *,Gold_334.csv
216,acc,Ind,prawiyogi,acc. sg. m.,prep.,Gold_334.csv
217,nom,FV,karwa,nom. sg. *,fut. ac. sg. 1,Gold_334.csv
218,FV,ROOT,root,fut. ac. sg. 1,NA,Gold_334.csv
219,Ind,FV,axikaranam,conj.,impft . ac. sg. 3,Gold_771.csv
220,g,nom,rartisambanxah,g. sg. f.,nom. sg. m.,Gold_771.csv
221,nom,FV,karwa,nom. sg. m.,impft . ac. sg. 3,Gold_771.csv
222,FV,ROOT,root,impft . ac. sg. 3,NA,Gold_771.csv
223,abl,Ind,prawiyogi,abl. sg. m.,conj.,Gold_185.csv
224,Ind,Ind,anuyogi,conj.,conj.,Gold_185.csv
225,Ind,g,karma,conj.,g. pl. n.,Gold_185.csv
226,inst,inst,viseranam,inst. pl. m.,inst. pl. m.,Gold_185.csv
227,inst,FV,hewuh,inst. pl. m.,impft. ac. sg. 3,Gold_185.csv
228,g,g,viseranam,g. pl. n.,g. pl. n.,Gold_185.csv
229,g,inst,rartisambanxah,g. pl. n.,inst. sg. m.,Gold_185.csv
230,inst,Ind,prawiyogi,inst. sg. m.,conj.,Gold_185.csv
231,Ind,inst,anuyogi,conj.,inst. pl. n.,Gold_185.csv
232,inst,inst,viseranam,inst. pl. n.,inst. pl. n.,Gold_185.csv
233,inst,FV,karanam,inst. pl. n.,impft. ac. sg. 3,Gold_185.csv
234,inst,FV,karwa,inst. pl. f.,impft. ac. sg. 3,Gold_185.csv
235,FV,ROOT,root,impft. ac. sg. 3,NA,Gold_185.csv
236,inst,acc,karwa,inst. sg. m.,acc. sg. m.,Gold_1402.csv
237,Ind,acc,axikaranam,conj.,acc. sg. m.,Gold_1402.csv
238,acc,acc,karma,acc. sg. f.,acc. sg. m.,Gold_1402.csv
239,Ind,acc,sambanxah,conj.,acc. sg. m.,Gold_1402.csv
240,acc,Ind,samucciwam,acc. sg. m.,conj.,Gold_1402.csv
241,loc,nom,axikaranam,loc. pl. f.,nom. sg. n.,Gold_1402.csv
242,acc,nom,karma,acc. sg. m.,nom. sg. n.,Gold_1402.csv
243,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_1402.csv
244,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_1402.csv
245,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_1402.csv
246,nom,FV,karwa,nom. sg. n.,impft . ac. sg. 3,Gold_1402.csv
247,nom,Ind,prawiyogi,nom. sg. n.,conj.,Gold_1402.csv
248,Ind,nom,anuyogi,conj.,nom. sg. n.,Gold_1402.csv
249,g,nom,rartisambanxah,g. sg. m.,nom. sg. n.,Gold_1402.csv
250,nom,FV,karma,nom. sg. n.,impft . ac. sg. 3,Gold_1402.csv
251,FV,Ind,samucciwam,impft . ac. sg. 3,conj.,Gold_1402.csv
252,Ind,ROOT,root,conj.,NA,Gold_1402.csv
253,acc,FV,karma,acc. pl. m.,des. pr. md. pl. 3,Gold_1017.csv
254,acc,FV,karma,acc. pl. m.,des. pr. md. pl. 3,Gold_1017.csv
255,FV,ROOT,root,des. pr. md. pl. 3,NA,Gold_1017.csv
256,nom,FV,karwa,nom. pl. m.,des. pr. md. pl. 3,Gold_1017.csv
257,nom,FV,karwa,nom. pl. m.,pr. [6] ac. pl. 3,Gold_896.csv
258,inst,FV,karanam,i. sg. m.,pr. [6] ac. pl. 3,Gold_896.csv
259,acc,FV,karma,acc. sg. m.,pr. [6] ac. pl. 3,Gold_896.csv
260,FV,ROOT,root,pr. [6] ac. pl. 3,NA,Gold_896.csv
261,Ind,adv,sambanxah,conj.,adv.,Gold_121.csv
262,nom,FV,karwa,nom. du. m.,pr. [1] ac. du. 3,Gold_121.csv
263,adv,FV,kriyaviseranam,adv.,pr. [1] ac. du. 3,Gold_121.csv
264,Ind,adv,sambanxah,conj.,adv.,Gold_121.csv
265,adv,FV,kriyaviseranam,adv.,pr. [1] ac. du. 3,Gold_121.csv
266,Ind,adv,sambanxah,prep.,adv.,Gold_121.csv
267,FV,ROOT,root,pr. [1] ac. du. 3,NA,Gold_121.csv
268,Ind,FV,sambanxah,part.,pr. [1] ac. du. 3,Gold_121.csv
269,g,nom,rartisambanxah,g. sg. f.,nom. sg. m.,Gold_1055.csv
270,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1055.csv
271,nom,FV,karwa,nom. sg. m.,pr. [2] ac. sg. 3,Gold_1055.csv
272,FV,ROOT,root,pr. [2] ac. sg. 3,NA,Gold_1055.csv
273,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_402.csv
274,nom,FV,karwa,nom. sg. m.,pr. [2] ac. sg. 3,Gold_402.csv
275,FV,ROOT,root,pr. [2] ac. sg. 3,NA,Gold_402.csv
276,g,loc,rartisambanxah,g. sg. m.,loc. pl. f.,Gold_782.csv
277,loc,FV,axikaranam,loc. pl. f.,pr. [2] ac. pl. 3,Gold_782.csv
278,nom,FV,karwa,nom. pl. m.,pr. [2] ac. pl. 3,Gold_782.csv
279,FV,ROOT,root,pr. [2] ac. pl. 3,NA,Gold_782.csv
280,inst,FV,hewuh,i. sg. n.,ca. impft. ac. sg. 3,Gold_1102.csv
281,Ind,inst,sambanxah,prep.,i. sg. n.,Gold_1102.csv
282,acc,FV,karma,acc. pl. m.,ca. impft. ac. sg. 3,Gold_1102.csv
283,acc,acc,viseranam,acc. pl. *,acc. pl. m.,Gold_1102.csv
284,nom,FV,karwa,nom. sg. m.,ca. impft. ac. sg. 3,Gold_1102.csv
285,inst,FV,karanam,i. sg. m.,ca. impft. ac. sg. 3,Gold_1102.csv
286,FV,ROOT,root,ca. impft. ac. sg. 3,NA,Gold_1102.csv
287,g,g,viseranam,g. sg. m.,g. sg. m.,Gold_974.csv
288,g,nom,rartisambanxah,g. sg. m.,nom. pl. m.,Gold_974.csv
289,nom,g,karwa,nom. pl. m.,g. sg. m.,Gold_974.csv
290,Ind,g,viseranam,conj.,g. sg. m.,Gold_974.csv
291,g,g,viseranam,g. sg. m.,g. sg. n.,Gold_974.csv
292,g,nom,rartisambanxah,g. sg. n.,nom. sg. m.,Gold_974.csv
293,nom,Ind,prawiyogi,nom. sg. m.,conj.,Gold_974.csv
294,Ind,FV,anuyogi,conj.,pr. ac. pl. 3,Gold_974.csv
295,Ind,FV,sambanxah,conj.,pr. ac. pl. 3,Gold_974.csv
296,nom,FV,karwqsamanaxikaranam,nom. pl. m.,pr. ac. pl. 3,Gold_974.csv
297,FV,ROOT,root,pr. ac. pl. 3,NA,Gold_974.csv
298,nom,FV,karwa,nom. sg. m.,pr. [2] ac. sg. 3,Gold_439.csv
299,Ind,ROOT,root,conj.,NA,Gold_439.csv
300,nom,FV,karwqsamanaxikaranam,nom. sg. m.,pr. [2] ac. sg. 3,Gold_439.csv
301,FV,Ind,samucciwam,pr. [2] ac. sg. 3,conj.,Gold_439.csv
302,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1153.csv
303,Ind,nom,viseranam,conj.,nom. sg. m.,Gold_1153.csv
304,nom,nom,karwa,nom. sg. m.,nom. sg. n.,Gold_1153.csv
305,acc,nom,karma,acc. sg. f.,nom. sg. n.,Gold_1153.csv
306,nom,FV,bavalakranasapwami_samanakalah,nom. sg. n.,pft. ac. sg. 3,Gold_1153.csv
307,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1153.csv
308,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1153.csv
309,nom,FV,karwa,nom. sg. m.,pft. ac. sg. 3,Gold_1153.csv
310,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_1153.csv
311,g,acc,rartisambanxah,g. sg. m.,acc. sg. m.,Gold_1153.csv
312,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_1153.csv
313,acc,Ind,upapaxasambanxah,acc. sg. m.,conj.,Gold_1153.csv
314,Ind,FV,sambanxah,conj.,pft. ac. sg. 3,Gold_1153.csv
315,FV,ROOT,root,pft. ac. sg. 3,NA,Gold_1153.csv
316,adv,FV,kriyaviseranam,adv.,impft. [8] ac. sg. 3,Gold_1045.csv
317,nom,FV,karwa,nom. sg. m.,impft. [8] ac. sg. 3,Gold_1045.csv
318,acc,FV,karma,acc. sg. n.,impft. [8] ac. sg. 3,Gold_1045.csv
319,FV,ROOT,root,impft. [8] ac. sg. 3,NA,Gold_1045.csv
320,acc,FV,karma,acc. pl. m.,pr. [1] ac. sg. 3,Gold_1218.csv
321,FV,ROOT,root,pr. [1] ac. sg. 3,NA,Gold_1218.csv
322,nom,FV,karwa,nom. sg. m.,pr. [1] ac. sg. 3,Gold_1218.csv
323,g,nom,rartisambanxah,g. sg. *,nom. sg. m.,Gold_759.csv
324,nom,FV,karwa,nom. sg. m.,pr. [2] ac. sg. 3,Gold_759.csv
325,FV,ROOT,root,pr. [2] ac. sg. 3,NA,Gold_759.csv
326,nom,nom,viseranam,nom. du. m.,nom. du. m.,Gold_1303.csv
327,nom,FV,karwa,nom. du. m.,aor. [5] ac. sg. 3,Gold_1303.csv
328,FV,ROOT,root,aor. [5] ac. sg. 3,NA,Gold_1303.csv
329,nom,IV,karwa,nom. sg. m.,ppa.,Gold_266.csv
330,acc,IV,karma,acc. sg. m.,ppa.,Gold_266.csv
331,IV,ROOT,root,ppa.,NA,Gold_266.csv
332,voc,acc,samboxyah,voc. sg. m.,acc. sg. n.,Gold_232.csv
333,nom,acc,karwa,nom. sg. *,acc. sg. n.,Gold_232.csv
334,acc,acc,karma,acc. sg. n.,acc. sg. n.,Gold_232.csv
335,Ind,acc,sambanxah,prep.,acc. sg. n.,Gold_232.csv
336,acc,acc,prawiyogi,acc. sg. n.,acc. sg. n.,Gold_232.csv
337,acc,inst,anuyogi,acc. sg. n.,i. sg. n.,Gold_232.csv
338,inst,inst,viseranam,i. sg. n.,i. sg. n.,Gold_232.csv
339,inst,IV,karwa,i. sg. n.,pfp. [2],Gold_232.csv
340,inst,inst,viseranam,i. sg. m.,i. sg. n.,Gold_232.csv
341,inst,Ind,prawiyogi,i. sg. n.,prep.,Gold_232.csv
342,Ind,inst,anuyogi,prep.,i. sg. n.,Gold_232.csv
343,IV,ROOT,root,pfp. [2],NA,Gold_232.csv
344,inst,inst,viseranam,inst. sg. f.,inst. sg. f.,Gold_102.csv
